iteration,max_houses,score
0,20,8507130.0
1,20,9772890.0
2,20,9412590.0
3,20,9542880.0
4,20,9077310.0
5,20,9841860.0
6,20,9784050.0
7,20,10435800.0
8,20,10562520.0
9,20,9877350.0
10,20,10055850.0
11,20,9385170.0
12,20,9256080.0
13,20,9297300.0
14,20,9519840.0
15,20,9634860.0
16,20,9501030.0
17,20,8865090.0
18,20,10029630.0
19,20,9297270.0
20,20,10200300.0
21,20,10102410.0
22,20,9144060.0
23,20,9354120.0
24,20,9480240.0
25,20,10160160.0
26,20,9596670.0
27,20,10744470.0
28,20,9602160.0
29,20,9042150.0
30,20,9513180.0
31,20,9200310.0
32,20,9419880.0
33,20,9301110.0
34,20,8582970.0
35,20,9493890.0
36,20,10375680.0
37,20,8872380.0
38,20,11242530.0
39,20,9419430.0
40,20,9495720.0
41,20,9891780.0
42,20,10167600.0
43,20,10612380.0
44,20,9924420.0
45,20,10966560.0
46,20,9755490.0
47,20,9709350.0
48,20,8648160.0
49,20,8749920.0
50,20,9472140.0
51,20,9253290.0
52,20,10767030.0
53,20,9654240.0
54,20,9466440.0
55,20,8820990.0
56,20,10701030.0
57,20,9342450.0
58,20,9555240.0
59,20,9584400.0
60,20,9953730.0
61,20,9903870.0
62,20,8972640.0
63,20,8912760.0
64,20,9482910.0
65,20,9792750.0
66,20,9568920.0
67,20,9933300.0
68,20,9480360.0
69,20,9078150.0
70,20,9660030.0
71,20,9910680.0
72,20,9955380.0
73,20,9300930.0
74,20,9456690.0
75,20,9952380.0
76,20,9479610.0
77,20,8941080.0
78,20,8652120.0
79,20,10308690.0
80,20,9427620.0
81,20,9678690.0
82,20,9801510.0
83,20,9582180.0
84,20,8740140.0
85,20,9904200.0
86,20,10888590.0
87,20,8684730.0
88,20,9853770.0
89,20,10290030.0
90,20,9912690.0
91,20,8901000.0
92,20,9648960.0
93,20,10294260.0
94,20,9593130.0
95,20,10112790.0
96,20,9747600.0
97,20,9016020.0
98,20,8954370.0
99,20,9649650.0
100,20,8694810.0
101,20,9222930.0
102,20,10014810.0
103,20,9623370.0
104,20,9678000.0
105,20,9368520.0
106,20,9915030.0
107,20,10107660.0
108,20,10641720.0
109,20,10590900.0
110,20,9109620.0
111,20,9331800.0
112,20,9272370.0
113,20,8792850.0
114,20,10966800.0
115,20,10026840.0
116,20,9280200.0
117,20,9280680.0
118,20,9164910.0
119,20,10120140.0
