iteration,max_houses,score,coordinates,type
0,10,6978400.0,"(32, 6)",maison
1,10,13517600.0,"(141, 161)",maison
2,10,10979720.0,"(45, 163)",bungalow
3,10,10967240.0,"(129, 69)",bungalow
4,10,10966400.0,"(58, 108)",bungalow
5,10,10936640.0,"(117, 17)",bungalow
6,10,10964000.0,"(83, 78)",sfh
7,10,11086550.0,"(47, 89)",sfh
8,10,11022920.0,"(72, 98)",sfh
9,10,10956230.0,"(103, 60)",sfh
