,iteration,max_houses,score
0,0,40,9174400.0
1,1,40,13517600.0
2,2,40,13578600.0
3,3,40,16128400.0
4,4,40,16555400.0
5,5,40,16140600.0
6,6,40,16439400.0
7,7,40,16848000.0
8,8,40,16573080.0
9,9,40,16505880.0
10,10,40,17240040.0
11,11,40,17415600.0
12,12,40,17591160.0
13,13,40,17674800.0
14,14,40,17793120.0
15,15,40,18118920.0
16,16,40,18302670.0
17,17,40,18463860.0
18,18,40,18611010.0
19,19,40,18758160.0
20,20,40,18941910.0
21,21,40,19235460.0
22,22,40,19511910.0
23,23,40,19633410.0
24,24,40,19780860.0
25,25,40,20074410.0
26,26,40,20350860.0
27,27,40,20550360.0
28,28,40,20749860.0
29,29,40,20860410.0
30,30,40,21044160.0
31,31,40,21247410.0
32,32,40,21484530.0
33,33,40,21683460.0
34,34,40,21785460.0
35,35,40,22025310.0
36,36,40,22301760.0
37,37,40,22586760.0
38,38,40,22716810.0
39,39,40,22950510.0
