,iteration,max_houses,old_score,new_score
0,0,20,10121430.0,9764040.0
1,1,20,10121430.0,9940830.0
2,2,20,10121430.0,9822030.0
3,3,20,10265070.0,10265070.0
4,4,20,10265070.0,9911190.0
5,5,20,10278180.0,10278180.0
6,6,20,10373940.0,10373940.0
7,7,20,10373940.0,10023390.0
8,8,20,10373940.0,10108320.0
9,9,20,10373940.0,9790890.0
10,10,20,10373940.0,9958980.0
11,11,20,10373940.0,10186410.0
12,12,20,10373940.0,10118580.0
13,13,20,10373940.0,10142520.0
14,14,20,10373940.0,10070700.0
15,15,20,10373940.0,9802230.0
16,16,20,10373940.0,10178640.0
17,17,20,10373940.0,9879180.0
18,18,20,10373940.0,10348290.0
19,19,20,10373940.0,9882600.0
20,20,20,10373940.0,9783420.0
21,21,20,10373940.0,10036020.0
22,22,20,10373940.0,10305540.0
23,23,20,10447140.0,10447140.0
24,24,20,10447140.0,10020210.0
25,25,20,10447140.0,10412940.0
26,26,20,10447140.0,9870900.0
27,27,20,10447140.0,9958740.0
28,28,20,10447140.0,10159860.0
29,29,20,10447140.0,10081200.0
30,30,20,10447140.0,10183800.0
31,31,20,10447140.0,10220280.0
32,32,20,10447140.0,10050060.0
33,33,20,10447140.0,10093740.0
34,34,20,10447140.0,10012650.0
35,35,20,10447140.0,10007100.0
36,36,20,10447140.0,10183230.0
37,37,20,10472790.0,10472790.0
38,38,20,10472790.0,9376470.0
39,39,20,10643490.0,10643490.0
40,40,20,10643490.0,10487190.0
41,41,20,10643490.0,10356210.0
42,42,20,10643490.0,10549440.0
43,43,20,10643490.0,10489590.0
44,44,20,10643490.0,10396680.0
45,45,20,10814490.0,10814490.0
46,46,20,10814490.0,10607010.0
47,47,20,10814490.0,10357350.0
48,48,20,10814490.0,10586340.0
49,49,20,10814490.0,10811640.0
50,50,20,10960890.0,10960890.0
51,51,20,10960890.0,10494630.0
52,52,20,10960890.0,10733340.0
53,53,20,10960890.0,10445100.0
54,54,20,10960890.0,10960890.0
55,55,20,10960890.0,10498440.0
56,56,20,10960890.0,10181010.0
57,57,20,10960890.0,10802430.0
58,58,20,10960890.0,10944930.0
59,59,20,10960890.0,10622310.0
60,60,20,10960890.0,10571010.0
61,61,20,10960890.0,10722060.0
62,62,20,10960890.0,10123620.0
63,63,20,10960890.0,10517970.0
64,64,20,10960890.0,10716930.0
65,65,20,10960890.0,10871400.0
66,66,20,10960890.0,10426860.0
67,67,20,10960890.0,10183770.0
68,68,20,10960890.0,10547640.0
69,69,20,10960890.0,10849740.0
70,70,20,10960890.0,10703820.0
71,71,20,10960890.0,10743690.0
72,72,20,10960890.0,10339530.0
73,73,20,10960890.0,10539840.0
74,74,20,10960890.0,10514010.0
75,75,20,10960890.0,10679880.0
76,76,20,10960890.0,10622880.0
77,77,20,10960890.0,10584090.0
78,78,20,10960890.0,10504260.0
79,79,20,10960890.0,10593240.0
80,80,20,10960890.0,10881090.0
81,81,20,10960890.0,10305000.0
82,82,20,10960890.0,10597650.0
83,83,20,10960890.0,10901040.0
84,84,20,10960890.0,10320270.0
85,85,20,10960890.0,10738590.0
86,86,20,10960890.0,10653870.0
87,87,20,10960890.0,10690710.0
88,88,20,10960890.0,10616040.0
89,89,20,10960890.0,10596180.0
90,90,20,10960890.0,10545930.0
91,91,20,10960890.0,10715790.0
92,92,20,10960890.0,10581000.0
93,93,20,10960890.0,10484550.0
94,94,20,10960890.0,10097460.0
95,95,20,10960890.0,10848030.0
96,96,20,10960890.0,10312800.0
97,97,20,10960890.0,10781340.0
98,98,20,10960890.0,10619460.0
99,99,20,11080590.0,11080590.0
