iteration,max_houses,score
0,20,25448010.0
1,20,36306240.0
2,20,30570480.0
3,20,33529260.0
4,20,33727170.0
5,20,35325000.0
6,20,26347080.0
7,20,29434380.0
8,20,29268810.0
9,20,31480950.0
10,20,25740390.0
11,20,30695820.0
12,20,26569290.0
13,20,27890970.0
14,20,28438620.0
15,20,30021210.0
16,20,33155250.0
17,20,30491430.0
18,20,25837680.0
19,20,31380180.0
20,20,25566900.0
21,20,40278570.0
22,20,25371600.0
23,20,26543130.0
24,20,24125430.0
25,20,28874250.0
26,20,30643560.0
27,20,26320800.0
28,20,30172080.0
29,20,31109670.0
30,20,26024160.0
31,20,26912550.0
32,20,36061260.0
33,20,37706310.0
34,20,26010660.0
35,20,24206640.0
36,20,32927040.0
37,20,29041410.0
38,20,31259160.0
39,20,31674990.0
40,20,41989380.0
41,20,33750510.0
42,20,43372530.0
43,20,32831760.0
44,20,34437330.0
45,20,26723190.0
46,20,27683130.0
47,20,30860250.0
48,20,36052890.0
49,20,23355270.0
50,20,33261900.0
51,20,24107490.0
52,20,28997280.0
53,20,34153440.0
54,20,26668410.0
55,20,36350520.0
56,20,30117270.0
57,20,31040160.0
58,20,28688430.0
59,20,29415300.0
60,20,25968540.0
61,20,36845790.0
62,20,30742650.0
63,20,25276350.0
64,20,30282870.0
65,20,27577200.0
66,20,23686800.0
67,20,31344990.0
68,20,28332360.0
69,20,33362400.0
70,20,33463140.0
71,20,31872660.0
72,20,25833240.0
73,20,27958320.0
74,20,28485930.0
75,20,39049770.0
76,20,30308370.0
77,20,29711790.0
78,20,28397310.0
79,20,25494450.0
80,20,23981730.0
81,20,27267270.0
82,20,32456430.0
83,20,34466250.0
84,20,30243750.0
85,20,32434680.0
86,20,30796230.0
87,20,30550230.0
88,20,36330120.0
89,20,25187550.0
90,20,28906710.0
91,20,31086660.0
92,20,28505730.0
93,20,29551350.0
94,20,31553580.0
95,20,32870580.0
96,20,29797890.0
97,20,30487680.0
98,20,28548960.0
99,20,37057770.0
100,20,22705860.0
101,20,31854210.0
102,20,29116080.0
103,20,27435990.0
104,20,29113770.0
105,20,35203590.0
106,20,35503830.0
107,20,27784140.0
108,20,33107520.0
109,20,28538700.0
110,20,26746590.0
111,20,29890290.0
112,20,35102220.0
113,20,33326190.0
114,20,32458350.0
115,20,32712420.0
116,20,29379480.0
117,20,28309530.0
118,20,28281510.0
119,20,30687180.0
120,20,30421350.0
121,20,25300470.0
122,20,33767700.0
123,20,24668130.0
124,20,35361420.0
125,20,34351290.0
126,20,28832100.0
127,20,30606930.0
128,20,26278770.0
129,20,28474260.0
130,20,30762510.0
131,20,26567670.0
132,20,23863140.0
133,20,24958590.0
134,20,23530080.0
135,20,31993470.0
136,20,29837970.0
137,20,25057080.0
138,20,28066890.0
139,20,29908350.0
140,20,30339090.0
141,20,33176280.0
142,20,35101020.0
143,20,30642720.0
144,20,29903760.0
145,20,22940640.0
146,20,36073230.0
147,20,33751050.0
148,20,30258270.0
149,20,29663400.0
150,20,27754020.0
151,20,24489930.0
152,20,33825870.0
153,20,24980790.0
154,20,29609190.0
155,20,26913540.0
156,20,27567030.0
157,20,24671100.0
158,20,25023300.0
159,20,26455410.0
160,20,24842760.0
161,20,32391360.0
162,20,27619560.0
163,20,29172390.0
164,20,29739720.0
165,20,28333320.0
166,20,33078870.0
167,20,25131390.0
168,20,27131490.0
169,20,31645980.0
170,20,25085220.0
171,20,31396470.0
172,20,28160130.0
173,20,29959980.0
174,20,33078900.0
175,20,32415510.0
176,20,31615590.0
177,20,25519620.0
178,20,37455120.0
179,20,25969260.0
180,20,34017870.0
181,20,27379470.0
182,20,33428490.0
183,20,30313890.0
184,20,32563080.0
185,20,29083530.0
186,20,30986250.0
187,20,29874720.0
188,20,27134310.0
189,20,30871140.0
190,20,32116230.0
191,20,34421820.0
192,20,23201100.0
193,20,37066050.0
194,20,31587960.0
195,20,29378220.0
196,20,32291280.0
197,20,27667530.0
198,20,33899130.0
199,20,30857010.0
200,20,27654570.0
201,20,23370240.0
202,20,30382080.0
203,20,26112600.0
204,20,27992550.0
205,20,37874340.0
206,20,24680040.0
207,20,37732560.0
208,20,30117630.0
209,20,32707800.0
210,20,37809450.0
211,20,44703990.0
212,20,31152180.0
213,20,27149730.0
214,20,30800160.0
215,20,36250050.0
216,20,25128810.0
217,20,29344710.0
218,20,26023950.0
219,20,27748050.0
220,20,30558390.0
221,20,28617300.0
222,20,35376510.0
223,20,31600170.0
224,20,39141150.0
225,20,29555100.0
226,20,31058220.0
227,20,30509070.0
228,20,27868770.0
229,20,31480440.0
230,20,27093690.0
231,20,30557040.0
232,20,33377640.0
233,20,34539720.0
234,20,27016440.0
235,20,26252490.0
236,20,32691780.0
237,20,25691460.0
238,20,22124100.0
239,20,27216000.0
240,20,26802540.0
241,20,31616850.0
242,20,31180710.0
243,20,26118300.0
244,20,29340660.0
245,20,25895310.0
246,20,26482080.0
247,20,22742520.0
248,20,33873060.0
249,20,28458120.0
250,20,27710280.0
251,20,33758610.0
252,20,30555390.0
253,20,35599020.0
254,20,34289610.0
255,20,23076840.0
256,20,32298090.0
257,20,31329660.0
258,20,27055230.0
259,20,36105870.0
260,20,33824460.0
261,20,25219410.0
262,20,28374570.0
263,20,26987580.0
264,20,35899620.0
265,20,28255650.0
266,20,27894210.0
267,20,35410440.0
268,20,33160290.0
269,20,26851320.0
270,20,30292890.0
271,20,28951650.0
272,20,26817390.0
273,20,31534230.0
274,20,25634040.0
275,20,26523180.0
276,20,26312010.0
277,20,30784830.0
278,20,26815800.0
279,20,34497360.0
280,20,28615410.0
281,20,30663000.0
282,20,31518510.0
283,20,27351870.0
284,20,30999780.0
285,20,32350590.0
286,20,31324830.0
287,20,36000480.0
288,20,35675910.0
289,20,30738420.0
290,20,26000610.0
291,20,33386190.0
292,20,30179310.0
293,20,25673070.0
294,20,26810550.0
295,20,25568580.0
296,20,29342970.0
297,20,30875550.0
298,20,31987590.0
299,20,38292540.0
300,20,38277750.0
301,20,29344620.0
302,20,30946680.0
303,20,23907570.0
304,20,30934830.0
305,20,30371940.0
306,20,32060940.0
307,20,30837270.0
308,20,30173310.0
309,20,28306080.0
310,20,25297950.0
311,20,28260930.0
312,20,31886790.0
313,20,25868550.0
314,20,25014930.0
315,20,36413970.0
316,20,27113520.0
317,20,25653510.0
318,20,30876780.0
319,20,27725370.0
320,20,24043050.0
321,20,35184720.0
322,20,27467640.0
323,20,27876420.0
324,20,32274630.0
325,20,25376970.0
326,20,26301360.0
327,20,35415210.0
328,20,32070060.0
329,20,35096190.0
330,20,26112780.0
331,20,29333220.0
332,20,37237740.0
333,20,37320780.0
334,20,25323000.0
335,20,30646680.0
336,20,29411340.0
337,20,26128410.0
338,20,31829580.0
339,20,31714020.0
340,20,26249490.0
341,20,40299330.0
342,20,27935010.0
343,20,29082300.0
344,20,29988030.0
345,20,29847750.0
346,20,24979650.0
347,20,23625720.0
348,20,24171390.0
349,20,26211930.0
350,20,24391440.0
351,20,33914070.0
352,20,28422480.0
353,20,28303620.0
354,20,32342010.0
355,20,31349940.0
356,20,32949690.0
357,20,22979550.0
358,20,28021500.0
359,20,30307740.0
360,20,30713070.0
361,20,29558190.0
362,20,30983040.0
363,20,30257010.0
364,20,33862680.0
365,20,32000010.0
366,20,26831820.0
367,20,28482270.0
368,20,29366460.0
369,20,26249370.0
370,20,26458020.0
371,20,29911890.0
372,20,30613950.0
373,20,34010880.0
374,20,37649580.0
375,20,28049070.0
376,20,36718230.0
377,20,28069350.0
378,20,24966000.0
379,20,28670130.0
380,20,26635080.0
381,20,33949950.0
382,20,27230610.0
383,20,32467200.0
384,20,24467730.0
385,20,26441040.0
386,20,35081070.0
387,20,21589770.0
388,20,27354720.0
389,20,28297470.0
390,20,28622700.0
391,20,26897250.0
392,20,29136480.0
393,20,31187010.0
394,20,25920840.0
395,20,32729190.0
396,20,31010730.0
397,20,32914140.0
398,20,27271830.0
399,20,25903950.0
400,20,35073060.0
401,20,24028680.0
402,20,28762140.0
403,20,34384350.0
404,20,27510840.0
405,20,33359730.0
406,20,25760850.0
407,20,26078520.0
408,20,26244900.0
409,20,27295440.0
410,20,26572440.0
411,20,33041700.0
412,20,31070460.0
413,20,27816600.0
414,20,24868680.0
415,20,29690700.0
416,20,36295380.0
417,20,29127960.0
418,20,32372400.0
419,20,30574800.0
420,20,36090990.0
421,20,35282820.0
422,20,30719310.0
423,20,30715680.0
424,20,31547100.0
425,20,30809250.0
426,20,31323960.0
427,20,30645270.0
428,20,24498120.0
429,20,32470680.0
430,20,33458730.0
431,20,36770280.0
432,20,29168760.0
433,20,28985310.0
434,20,34207290.0
435,20,31026930.0
436,20,34364700.0
437,20,29875680.0
438,20,26285340.0
439,20,28098810.0
440,20,32875740.0
441,20,34489260.0
442,20,31883010.0
443,20,33056550.0
444,20,25280490.0
445,20,29827260.0
446,20,30282120.0
447,20,26944710.0
448,20,37198950.0
449,20,26541570.0
450,20,26028300.0
