,iteration,max_houses,score
0,17,60,9174400.0
1,152,60,14688800.0
2,17,60,15481800.0
3,152,60,19568800.0
4,17,60,18348800.0
5,85,60,18263400.0
6,150,60,19093000.0
7,84,60,20618000.0
8,152,60,20239800.0
9,108,60,19976400.0
10,86,60,20121960.0
11,117,60,20348400.0
12,108,60,20462040.0
13,86,60,20586960.0
14,110,60,20826360.0
15,126,60,20959800.0
16,103,60,21070680.0
17,84,60,21286680.0
18,131,60,21329040.0
19,124,60,21403320.0
20,151,60,21751680.0
21,123,60,22166640.0
22,123,60,22581600.0
23,126,60,22651200.0
24,135,60,22880910.0
25,137,60,22954860.0
26,149,60,23175210.0
27,123,60,23175960.0
28,137,60,23323110.0
29,148,60,23506860.0
30,127,60,23580810.0
31,127,60,23581560.0
32,72,60,23545710.0
33,72,60,23839260.0
34,67,60,23949810.0
35,61,60,24023760.0
36,61,60,24317310.0
37,67,60,24290010.0
38,56,60,24465210.0
39,50,60,24465960.0
40,50,60,24759510.0
41,45,60,24796860.0
42,56,60,24944010.0
43,45,60,25017960.0
44,9,60,25299510.0
45,27,60,25541760.0
46,42,60,25590060.0
47,27,60,25666410.0
48,9,60,25900110.0
49,42,60,26055810.0
50,42,60,26286060.0
51,31,60,26534460.0
52,9,60,26791410.0
53,20,60,27084960.0
54,40,60,27327210.0
55,34,60,27327960.0
56,39,60,27584910.0
57,39,60,27878460.0
58,9,60,28098810.0
59,20,60,28392360.0
