,iteration,max_houses,score
0,0,20,9619170.0
1,1,20,10605870.0
2,2,20,9753210.0
3,3,20,10332420.0
4,4,20,10347360.0
5,5,20,9776760.0
6,6,20,11082000.0
7,7,20,9891810.0
8,8,20,11023680.0
9,9,20,9618870.0
10,10,20,9410790.0
11,11,20,10479720.0
12,12,20,9799320.0
13,13,20,9959010.0
14,14,20,10430130.0
15,15,20,10507260.0
16,16,20,10248750.0
17,17,20,10555620.0
18,18,20,10277250.0
19,19,20,9936780.0
20,20,20,9302880.0
21,21,20,9800670.0
22,22,20,10433730.0
23,23,20,9795060.0
24,24,20,10064160.0
25,25,20,10010760.0
26,26,20,10367220.0
27,27,20,9831960.0
28,28,20,9886080.0
29,29,20,9448830.0
30,30,20,10060620.0
31,31,20,9845310.0
32,32,20,11109510.0
33,33,20,9603630.0
34,34,20,9990150.0
35,35,20,9325380.0
36,36,20,10759950.0
37,37,20,10689570.0
38,38,20,10906830.0
39,39,20,9990810.0
40,40,20,10271760.0
41,41,20,10173660.0
42,42,20,10112040.0
43,43,20,10619490.0
44,44,20,10021860.0
45,45,20,9999360.0
46,46,20,10076880.0
47,47,20,9716880.0
48,48,20,9680310.0
49,49,20,9532320.0
50,50,20,10269750.0
51,51,20,10561860.0
52,52,20,10077780.0
53,53,20,10649520.0
54,54,20,10013700.0
55,55,20,9964860.0
56,56,20,9779010.0
57,57,20,10379100.0
58,58,20,10719210.0
59,59,20,10381740.0
60,60,20,9455100.0
61,61,20,10153020.0
62,62,20,10210200.0
63,63,20,9684150.0
64,64,20,9718320.0
65,65,20,10734510.0
66,66,20,10541250.0
67,67,20,9554880.0
68,68,20,9562260.0
69,69,20,9377040.0
70,70,20,9927060.0
71,71,20,10313460.0
72,72,20,9836310.0
73,73,20,11098560.0
74,74,20,10181550.0
75,75,20,10388190.0
76,76,20,10352490.0
77,77,20,10275630.0
78,78,20,10864050.0
79,79,20,9868680.0
80,80,20,9850830.0
81,81,20,9831450.0
82,82,20,9740010.0
83,83,20,9682200.0
84,84,20,10412070.0
85,85,20,9848790.0
86,86,20,10209240.0
87,87,20,9687150.0
88,88,20,9904830.0
89,89,20,9708180.0
90,90,20,10575120.0
91,91,20,11016150.0
92,92,20,10075950.0
93,93,20,10146750.0
94,94,20,9969030.0
95,95,20,10255290.0
96,96,20,9897240.0
97,97,20,11032140.0
98,98,20,9857010.0
99,99,20,9646620.0
