,iteration,max_houses,old_score,new_score
0,0,60,23300940.0,23300940.0
1,1,60,23300940.0,23250780.0
2,2,60,23394780.0,23394780.0
3,3,60,23394780.0,23369130.0
4,4,60,23394780.0,23287050.0
5,5,60,23394780.0,23379960.0
6,6,60,23394780.0,23278380.0
7,7,60,23467980.0,23467980.0
8,8,60,23467980.0,23450880.0
9,9,60,23467980.0,23467980.0
10,10,60,23467980.0,23467980.0
11,11,60,23476530.0,23476530.0
12,12,60,23476530.0,23433780.0
13,13,60,23476530.0,23460570.0
14,14,60,23476530.0,23442330.0
15,15,60,23476530.0,23467980.0
16,16,60,23476530.0,23419290.0
17,17,60,23476530.0,23213730.0
18,18,60,23476530.0,23476530.0
19,19,60,23476530.0,23459430.0
20,20,60,23476530.0,23459430.0
21,21,60,23476530.0,23439930.0
22,22,60,23476530.0,23347710.0
23,23,60,23476530.0,23439930.0
24,24,60,23476530.0,23460570.0
25,25,60,23476530.0,23433780.0
26,26,60,23476530.0,23428980.0
27,27,60,23524410.0,23524410.0
28,28,60,23524410.0,23515860.0
29,29,60,23524410.0,23426370.0
30,30,60,23524410.0,23507310.0
31,31,60,23524410.0,23492490.0
32,32,60,23524410.0,23456010.0
33,33,60,23524410.0,23457150.0
34,34,60,23524410.0,23464560.0
35,35,60,23524410.0,23452020.0
36,36,60,23524410.0,23456010.0
37,37,60,23524410.0,23462160.0
38,38,60,23744010.0,23744010.0
39,39,60,23853810.0,23853810.0
40,40,60,23879460.0,23879460.0
41,41,60,23879460.0,23802510.0
42,42,60,23879460.0,23759190.0
43,43,60,23879460.0,23828160.0
44,44,60,23879460.0,23807070.0
45,45,60,23879460.0,23837850.0
46,46,60,23879460.0,23879460.0
47,47,60,23879460.0,23870910.0
48,48,60,23879460.0,23823030.0
49,49,60,23879460.0,23806260.0
50,50,60,23879460.0,23870910.0
51,51,60,23879460.0,23847540.0
52,52,60,23888010.0,23888010.0
53,53,60,23888010.0,23846400.0
54,54,60,23888010.0,23836710.0
55,55,60,23888010.0,23840130.0
56,56,60,23896560.0,23896560.0
57,57,60,23947860.0,23947860.0
58,58,60,23947860.0,23941590.0
59,59,60,23947860.0,23806140.0
60,60,60,23947860.0,23947860.0
61,61,60,23947860.0,23842410.0
62,62,60,23947860.0,23899980.0
63,63,60,23962680.0,23962680.0
64,64,60,23962680.0,23906250.0
65,65,60,23962680.0,23831580.0
66,66,60,23996880.0,23996880.0
67,67,60,23996880.0,23956410.0
68,68,60,23996880.0,23982060.0
69,69,60,23996880.0,23529300.0
70,70,60,24031080.0,24031080.0
71,71,60,24063000.0,24063000.0
72,72,60,24063000.0,24006570.0
73,73,60,24063000.0,24037350.0
74,74,60,24136200.0,24136200.0
75,75,60,24136200.0,23972040.0
76,76,60,24136200.0,24127650.0
77,77,60,24136200.0,24119100.0
78,78,60,24136200.0,24111690.0
79,79,60,24136200.0,23938980.0
80,80,60,24136200.0,24128790.0
81,81,60,24136200.0,24072360.0
82,82,60,24136200.0,24103140.0
83,83,60,24136200.0,23892090.0
84,84,60,24136200.0,24136200.0
85,85,60,24136200.0,24102000.0
86,86,60,24136200.0,24088320.0
87,87,60,24136200.0,24033600.0
88,88,60,24136200.0,24030750.0
89,89,60,24136200.0,24046710.0
90,90,60,24136200.0,24084900.0
91,91,60,24136200.0,24119100.0
92,92,60,24136200.0,24067800.0
93,93,60,24136200.0,23994480.0
94,94,60,24136200.0,23941920.0
95,95,60,24136200.0,24055260.0
96,96,60,24136200.0,24037020.0
97,97,60,24136200.0,24095730.0
98,98,60,24136200.0,23843400.0
99,99,60,24136200.0,23908050.0
100,100,60,24136200.0,23844210.0
101,101,60,24136200.0,24005100.0
102,102,60,24136200.0,24093450.0
103,103,60,24136200.0,24026190.0
104,104,60,24136200.0,24077490.0
105,105,60,24136200.0,24033600.0
106,106,60,24136200.0,24056400.0
107,107,60,24136200.0,23843400.0
108,108,60,24136200.0,24082500.0
109,109,60,24136200.0,24078630.0
110,110,60,24136200.0,24102000.0
111,111,60,24136200.0,24078630.0
112,112,60,24136200.0,24040440.0
113,113,60,24136200.0,24102000.0
114,114,60,24136200.0,24119100.0
115,115,60,24136200.0,24062670.0
116,116,60,24164250.0,24164250.0
117,117,60,24164250.0,24054450.0
118,118,60,24164250.0,23944650.0
119,119,60,24164250.0,24122640.0
120,120,60,24164250.0,24006360.0
121,121,60,24164250.0,24110550.0
122,122,60,24164250.0,23839530.0
123,123,60,24237450.0,24237450.0
124,124,60,24237450.0,24211800.0
125,125,60,24237450.0,23981250.0
126,126,60,24237450.0,24181020.0
127,127,60,24237450.0,24221490.0
128,128,60,24237450.0,24220350.0
129,129,60,24237450.0,23927550.0
130,130,60,24237450.0,24110550.0
131,131,60,24237450.0,24127650.0
132,132,60,24237450.0,24184890.0
133,133,60,24237450.0,24022530.0
134,134,60,24253410.0,24253410.0
135,135,60,24253410.0,24171330.0
136,136,60,24253410.0,24253410.0
137,137,60,24253410.0,24253410.0
138,138,60,24253410.0,24253410.0
139,139,60,24253410.0,24219210.0
140,140,60,24253410.0,24099510.0
141,141,60,24253410.0,24187290.0
142,142,60,24253410.0,24211800.0
143,143,60,24253410.0,24041370.0
144,144,60,24253410.0,24133140.0
145,145,60,24253410.0,24150810.0
146,146,60,24253410.0,24244860.0
147,147,60,24253410.0,24170190.0
148,148,60,24253410.0,24253410.0
149,149,60,24253410.0,23926410.0
150,150,60,24253410.0,24145680.0
151,151,60,24253410.0,24194700.0
152,152,60,24253410.0,23961420.0
153,153,60,24253410.0,24117750.0
154,154,60,24253410.0,24225360.0
155,155,60,24253410.0,24053310.0
156,156,60,24285330.0,24285330.0
157,157,60,24285330.0,24285330.0
158,158,60,24301290.0,24301290.0
159,159,60,24301290.0,24216930.0
160,160,60,24378240.0,24378240.0
161,161,60,24378240.0,24309840.0
162,162,60,24378240.0,24268440.0
163,163,60,24378240.0,24344040.0
164,164,60,24378240.0,24378240.0
