,iteration,max_houses,old_score,new_score
0,0,20,8866680.0,8864280.0
1,1,20,8903280.0,8903280.0
2,2,20,8903280.0,8851980.0
3,3,20,8935200.0,8935200.0
4,4,20,9191400.0,9191400.0
5,5,20,9191400.0,8995200.0
6,6,20,9191400.0,9123000.0
7,7,20,9191400.0,9143520.0
8,8,20,9217050.0,9217050.0
9,9,20,9222180.0,9222180.0
10,10,20,9222180.0,9213630.0
11,11,20,9222180.0,9179430.0
12,12,20,9222180.0,9174300.0
13,13,20,9222180.0,8733180.0
14,14,20,9222180.0,9111600.0
15,15,20,9222180.0,9187980.0
16,16,20,9222180.0,9149790.0
17,17,20,9288780.0,9288780.0
18,18,20,9288780.0,9025440.0
19,19,20,9416460.0,9416460.0
20,20,20,9416460.0,9343260.0
21,21,20,9416460.0,9027210.0
22,22,20,9416460.0,9399360.0
23,23,20,9501960.0,9501960.0
24,24,20,9501960.0,9332670.0
25,25,20,9501960.0,9358770.0
26,26,20,9527280.0,9527280.0
27,27,20,9527280.0,9473130.0
28,28,20,9527280.0,9325500.0
29,29,20,9527280.0,9454080.0
30,30,20,9527280.0,9262530.0
31,31,20,9527280.0,9148080.0
32,32,20,9563880.0,9563880.0
33,33,20,9563880.0,9484080.0
34,34,20,9563880.0,9276600.0
35,35,20,9563880.0,9484080.0
36,36,20,9563880.0,9402000.0
37,37,20,9563880.0,9354120.0
38,38,20,9563880.0,9563880.0
39,39,20,9563880.0,9527280.0
40,40,20,9563880.0,9531960.0
41,41,20,9563880.0,9529680.0
42,42,20,9563880.0,9340440.0
43,43,20,9563880.0,9295410.0
44,44,20,9563880.0,9521130.0
45,45,20,9649380.0,9649380.0
46,46,20,9687000.0,9687000.0
47,47,20,9815250.0,9815250.0
48,48,20,9815250.0,9751410.0
49,49,20,9815250.0,9598410.0
50,50,20,9815250.0,9513720.0
51,51,20,9815250.0,9735450.0
52,52,20,9849450.0,9849450.0
53,53,20,9849450.0,9591240.0
54,54,20,9849450.0,9688350.0
55,55,20,9849450.0,9733170.0
56,56,20,9858000.0,9858000.0
57,57,20,9858000.0,9685290.0
58,58,20,9858000.0,9738300.0
59,59,20,9858000.0,9789600.0
60,60,20,9937800.0,9937800.0
61,61,20,9937800.0,9574140.0
62,62,20,9937800.0,9782190.0
63,63,20,10390950.0,10390950.0
64,64,20,10390950.0,9954900.0
65,65,20,10390950.0,10112220.0
66,66,20,10390950.0,10035840.0
67,67,20,10390950.0,10254150.0
68,68,20,10470750.0,10470750.0
69,69,20,10470750.0,10453650.0
70,70,20,10470750.0,10239900.0
71,71,20,10470750.0,10291770.0
72,72,20,10470750.0,9885150.0
73,73,20,10470750.0,10001370.0
74,74,20,10470750.0,10291200.0
75,75,20,10470750.0,10231350.0
76,76,20,10470750.0,10410900.0
77,77,20,10470750.0,10419450.0
78,78,20,10470750.0,10169220.0
79,79,20,10470750.0,10188600.0
80,80,20,10470750.0,10099650.0
81,81,20,10470750.0,9907020.0
82,82,20,10470750.0,10432230.0
83,83,20,10470750.0,10039260.0
84,84,20,10470750.0,10308300.0
85,85,20,10470750.0,10079730.0
86,86,20,10470750.0,9781950.0
87,87,20,10470750.0,10282650.0
88,88,20,10470750.0,10214250.0
89,89,20,10470750.0,10351050.0
90,90,20,10470750.0,9985680.0
91,91,20,10567950.0,10567950.0
92,92,20,10567950.0,10517310.0
93,93,20,10567950.0,10417800.0
94,94,20,10567950.0,10547310.0
95,95,20,10567950.0,10274970.0
96,96,20,10662000.0,10662000.0
97,97,20,10662000.0,10497150.0
98,98,20,10662000.0,10653450.0
99,99,20,10662000.0,10572510.0
100,100,20,10662000.0,10335000.0
101,101,20,10662000.0,10442400.0
102,102,20,10662000.0,10639770.0
103,103,20,10662000.0,10491570.0
104,104,20,10662000.0,10496700.0
105,105,20,10687650.0,10687650.0
106,106,20,10687650.0,10456800.0
107,107,20,10687650.0,10479600.0
108,108,20,10687650.0,10341090.0
109,109,20,10687650.0,10326270.0
110,110,20,10687650.0,10504110.0
111,111,20,10687650.0,10421550.0
112,112,20,10687650.0,10626090.0
113,113,20,10687650.0,10437750.0
114,114,20,10735530.0,10735530.0
115,115,20,10735530.0,10606710.0
116,116,20,10735530.0,10512090.0
117,117,20,10735530.0,10101030.0
118,118,20,10735530.0,9933570.0
119,119,20,10735530.0,10488690.0
120,120,20,10735530.0,10464630.0
121,121,20,10735530.0,10458510.0
122,122,20,10735530.0,10632930.0
123,123,20,10735530.0,10502970.0
124,124,20,10735530.0,10658580.0
125,125,20,10735530.0,10520730.0
126,126,20,10735530.0,10671690.0
127,127,20,10735530.0,10658580.0
128,128,20,10735530.0,10194030.0
129,129,20,10735530.0,10496130.0
130,130,20,10735530.0,10371870.0
131,131,20,10735530.0,10615830.0
132,132,20,10735530.0,10521780.0
133,133,20,10735530.0,10477890.0
134,134,20,10735530.0,10607280.0
135,135,20,10735530.0,10246470.0
