,iteration,max_houses,score
0,0,20,9933210.0
1,1,20,10982820.0
2,2,20,11092560.0
3,3,20,10686330.0
4,4,20,11069430.0
5,5,20,10589460.0
6,6,20,10819830.0
7,7,20,10269510.0
8,8,20,11392950.0
9,9,20,9669480.0
10,10,20,10319460.0
11,11,20,10260000.0
12,12,20,9945030.0
13,13,20,10091970.0
14,14,20,11552220.0
15,15,20,10264230.0
16,16,20,9809820.0
17,17,20,10576920.0
18,18,20,10681890.0
19,19,20,10485870.0
20,20,20,10688460.0
21,21,20,9798840.0
22,22,20,9761640.0
23,23,20,11234670.0
24,24,20,10512780.0
25,25,20,11071590.0
26,26,20,10524990.0
27,27,20,9669600.0
28,28,20,10190460.0
29,29,20,11222040.0
30,30,20,10955250.0
31,31,20,11699310.0
32,32,20,10336890.0
33,33,20,11364150.0
34,34,20,10014060.0
35,35,20,10144170.0
36,36,20,11658510.0
37,37,20,9934410.0
38,38,20,10640910.0
39,39,20,10520640.0
40,40,20,10262160.0
41,41,20,10698540.0
42,42,20,10125510.0
43,43,20,10516110.0
44,44,20,10590090.0
45,45,20,11000310.0
46,46,20,10802820.0
47,47,20,10838400.0
48,48,20,10418190.0
49,49,20,10412730.0
50,50,20,10322340.0
51,51,20,10566630.0
52,52,20,11157720.0
53,53,20,10231140.0
54,54,20,10864620.0
55,55,20,10511100.0
56,56,20,11475540.0
57,57,20,10703940.0
58,58,20,10852470.0
59,59,20,10123140.0
60,60,20,11031300.0
61,61,20,10913070.0
62,62,20,10348740.0
63,63,20,10414740.0
64,64,20,9619890.0
65,65,20,10485660.0
66,66,20,10214310.0
67,67,20,11172690.0
68,68,20,10594830.0
69,69,20,10259340.0
70,70,20,10497330.0
71,71,20,9443520.0
72,72,20,10669170.0
73,73,20,10074390.0
74,74,20,11177400.0
75,75,20,10285770.0
76,76,20,10028460.0
77,77,20,10640970.0
78,78,20,10877130.0
79,79,20,10584150.0
80,80,20,10791300.0
81,81,20,10769340.0
82,82,20,10929360.0
83,83,20,10389990.0
84,84,20,10148760.0
85,85,20,9980730.0
86,86,20,10557840.0
87,87,20,9944640.0
88,88,20,10779180.0
89,89,20,9951600.0
90,90,20,10027200.0
91,91,20,10719540.0
92,92,20,10912080.0
93,93,20,10635810.0
94,94,20,10405260.0
95,95,20,10706370.0
96,96,20,10586310.0
97,97,20,11296020.0
98,98,20,10154700.0
99,99,20,10413630.0
