iteration,max_houses,score,coordinates,type
0,60,6978400.0,"(32, 6)",maison
1,60,13517600.0,"(141, 161)",maison
2,60,12224400.0,"(45, 150)",maison
3,60,14518000.0,"(127, 58)",maison
4,60,13773800.0,"(59, 79)",maison
5,60,14383800.0,"(107, 17)",maison
6,60,13749400.0,"(93, 90)",maison
7,60,14139800.0,"(78, 47)",maison
8,60,11126400.0,"(73, 31)",maison
9,60,10358640.0,"(74, 19)",bungalow
10,60,9125280.0,"(79, 60)",bungalow
11,60,7549320.0,"(81, 70)",bungalow
12,60,6117240.0,"(60, 92)",bungalow
13,60,5257560.0,"(59, 102)",bungalow
14,60,4220160.0,"(59, 60)",bungalow
15,60,2981040.0,"(59, 50)",bungalow
16,60,1509120.0,"(59, 112)",bungalow
17,60,759000.0,"(59, 112)",bungalow
18,60,8880.0,"(59, 112)",bungalow
19,60,-741240.0,"(59, 112)",bungalow
20,60,-1491360.0,"(59, 112)",bungalow
21,60,-2241480.0,"(59, 112)",bungalow
22,60,-2991600.0,"(59, 112)",bungalow
23,60,-3741720.0,"(59, 112)",bungalow
24,60,-4491840.0,"(59, 112)",bungalow
25,60,-5241960.0,"(59, 112)",bungalow
26,60,-5992080.0,"(59, 112)",bungalow
27,60,-6742200.0,"(59, 112)",bungalow
28,60,-7492320.0,"(59, 112)",bungalow
29,60,-8242440.0,"(59, 112)",bungalow
30,60,-8992560.0,"(59, 112)",bungalow
31,60,-9742680.0,"(59, 112)",bungalow
32,60,-10492800.0,"(59, 112)",bungalow
33,60,-11242920.0,"(59, 112)",bungalow
34,60,-11993040.0,"(59, 112)",bungalow
35,60,-12743160.0,"(59, 112)",bungalow
36,60,-13493280.0,"(59, 112)",bungalow
37,60,-14243400.0,"(59, 112)",bungalow
38,60,-14993520.0,"(59, 112)",bungalow
39,60,-15743640.0,"(59, 112)",bungalow
40,60,-16493760.0,"(59, 112)",bungalow
41,60,-17243880.0,"(59, 112)",bungalow
42,60,-17994000.0,"(59, 112)",bungalow
43,60,-18744120.0,"(59, 112)",bungalow
44,60,-19494240.0,"(59, 112)",bungalow
45,60,-20244360.0,"(59, 112)",bungalow
46,60,-20994480.0,"(59, 112)",bungalow
47,60,-21744600.0,"(59, 112)",bungalow
48,60,-22494720.0,"(59, 112)",bungalow
49,60,-23244840.0,"(59, 112)",bungalow
50,60,-23994960.0,"(59, 112)",bungalow
51,60,-24745080.0,"(59, 112)",bungalow
52,60,-25495200.0,"(59, 112)",bungalow
53,60,-26245320.0,"(59, 112)",bungalow
54,60,-26995440.0,"(59, 112)",bungalow
55,60,-27745560.0,"(59, 112)",bungalow
56,60,-28495680.0,"(59, 112)",bungalow
57,60,-29245800.0,"(59, 112)",bungalow
58,60,-29995920.0,"(59, 112)",bungalow
59,60,-30746040.0,"(59, 112)",bungalow
